rel way node lat lon
relation 8614496 986831960 51.4962883 -0.1087215
relation 8614496 986831397 51.4962169 -0.1087222
relation 8614496 61328912 51.4962179 -0.1090022
relation 8614496 986832369 51.4953430 -0.1090109
-- http://www.openstreetmap.org/way/9558984 (http://www.openstreetmap.org/relation/1912113)
1912113 9558984 74004007 51.5004688 -0.1185803
1912113 9558984 74004023 51.4999904 -0.1186723
1912113 9558984 74004037 51.4999095 -0.1175878
1912113 9558984 74004047 51.5003880 -0.1174958
1912113 9558984 74004007 51.5004688 -0.1185803
-- http://www.openstreetmap.org/way/9558987 (http://www.openstreetmap.org/relation/1912113)
1912113 9558987 74004104 51.5003012 -0.1183725
1912113 9558987 74004124 51.5001226 -0.1184025
1912113 9558987 74004117 51.5000825 -0.1177881
1912113 9558987 74004112 51.5002612 -0.1177581
1912113 9558987 74004104 51.5003012 -0.1183725
-- http://www.openstreetmap.org/way/10790633 V&A Museum of Childhood
relation 10790633 96006680 51.5292160 -0.0553080
relation 10790633 1213564003 51.5290330 -0.0552411
relation 10790633 96006681 51.5288635 -0.0551792
relation 10790633 96006682 51.5290024 -0.0543381
relation 10790633 96006684 51.5293441 -0.0544582
relation 10790633 96006680 51.5292160 -0.0553080
-- http://www.openstreetmap.org/way/10807015 National Army Museum
relation 10807015 96071858 51.4858974 -0.1601601
relation 10807015 1851327958 51.4861905 -0.1597272
relation 10807015 1851328085 51.4862922 -0.1599047
relation 10807015 1851328151 51.4862411 -0.1599801
relation 10807015 96071860 51.4865067 -0.1604437
relation 10807015 96071861 51.4862647 -0.1608012
relation 10807015 96071858 51.4858974 -0.1601601
-- http://www.openstreetmap.org/way/23458099 Boston Manor
relation 23458099 254045040 51.4921292 -0.3188940
relation 23458099 254045041 51.4917356 -0.3182867
relation 23458099 254045042 51.4918866 -0.3180901
relation 23458099 254045043 51.4920242 -0.3183124
relation 23458099 263544108 51.4919549 -0.3183998
relation 23458099 263544107 51.4922069 -0.3187934
relation 23458099 254045040 51.4921292 -0.3188940
-- http://www.openstreetmap.org/way/23699363 London Museum of Water and Steam
relation 23699363 256612660 51.4892187 -0.2906915
relation 23699363 256612661 51.4891667 -0.2909453
relation 23699363 256612662 51.4890206 -0.2908680
relation 23699363 256612663 51.4889963 -0.2909867
relation 23699363 256612664 51.4886300 -0.2907931
relation 23699363 256612665 51.4887082 -0.2904117
relation 23699363 2900789351 51.4887374 -0.2904272
relation 23699363 2900789350 51.4887492 -0.2903698
relation 23699363 256612666 51.4888653 -0.2904312
relation 23699363 256612667 51.4888898 -0.2903118
relation 23699363 256612668 51.4888033 -0.2902661
relation 23699363 256612669 51.4888475 -0.2900500
relation 23699363 256612670 51.4890270 -0.2901449
relation 23699363 256612671 51.4889886 -0.2903323
relation 23699363 256612672 51.4892130 -0.2904509
relation 23699363 256612673 51.4891691 -0.2906652
relation 23699363 256612660 51.4892187 -0.2906915
-- http://www.openstreetmap.org/way/23941901 Vestry House Museum
relation 23941901 259512425 51.5839886 -0.0126071
relation 23941901 259512426 51.5842202 -0.0127881
relation 23941901 1722798333 51.5841029 -0.0131677
relation 23941901 1722798337 51.5840549 -0.0131294
relation 23941901 1722798343 51.5840892 -0.0130181
relation 23941901 1722798341 51.5840118 -0.0129538
relation 23941901 1722798335 51.5840450 -0.0128363
relation 23941901 259512428 51.5838967 -0.0127224
relation 23941901 1436348061 51.5839143 -0.0126580
relation 23941901 1436348054 51.5839624 -0.0126975
relation 23941901 259512425 51.5839886 -0.0126071
-- http://www.openstreetmap.org/way/24436380 (http://www.openstreetmap.org/relation/29795)
29795 24436380 265590008 51.4971705 -0.1728942
29795 24436380 1321766879 51.4972076 -0.1726869
29795 24436380 1321766594 51.4971879 -0.1726776
29795 24436380 1321766839 51.4972760 -0.1722113
29795 24436380 1321766271 51.4972991 -0.1722206
29795 24436380 265590009 51.4973323 -0.1720281
29795 24436380 1321766381 51.4969698 -0.1717892
29795 24436380 1321766528 51.4968904 -0.1721905
29795 24436380 1321766780 51.4969077 -0.1721997
29795 24436380 1321766462 51.4968789 -0.1723459
29795 24436380 1321766236 51.4968601 -0.1723389
29795 24436380 265590010 51.4967850 -0.1727657
29795 24436380 265590008 51.4971705 -0.1728942
-- http://www.openstreetmap.org/way/24436446 Natural History Museum
relation 24436446 265590378 51.4971705 -0.1740861
relation 24436446 265590379 51.4970117 -0.1762772
relation 24436446 265590380 51.4968274 -0.1790978
relation 24436446 265590381 51.4954153 -0.1787649
relation 24436446 265590382 51.4957846 -0.1738522
relation 24436446 265590378 51.4971705 -0.1740861
-- http://www.openstreetmap.org/way/24541159 Design Museum
relation 24541159 266840419 51.5029313 -0.0719380
relation 24541159 1086082597 51.5029070 -0.0718844
relation 24541159 1086082287 51.5029508 -0.0718177
relation 24541159 1125067268 51.5028551 -0.0716136
relation 24541159 1125067704 51.5028663 -0.0716000
relation 24541159 1125067335 51.5028442 -0.0715528
relation 24541159 266840423 51.5028330 -0.0715664
